block_id,publisher,work,volume,title_as_entered,match_key,alias_merged,occurrence,status,seat,entry_no
B04,Sher,The Latin Real Easy Book,Part 1,La Malanga,la malanga,,1,outside,,
B04,Sher,The Latin Real Easy Book,Part 1,La Mujer de Antonio,la mujer de antonio,,1,outside,,
B04,Sher,The Latin Real Easy Book,Part 1,Lágrimas Negras,lagrimas negras,,1,outside,,
B04,Sher,The Latin Real Easy Book,Part 1,Lamento,lamento,,1,outside,,
B04,Sher,The Latin Real Easy Book,Part 1,Let's Go Dancing,let's go dancing,,1,outside,,
B04,Sher,The Latin Real Easy Book,Part 1,Liberated Brother,liberated brother,,1,outside,,
B04,Sher,The Latin Real Easy Book,Part 1,Little Sunflower,little sunflower,,2,seated,List 1A,29
B04,Sher,The Latin Real Easy Book,Part 1,Lugar Comum,lugar comum,,1,outside,,
B04,Sher,The Latin Real Easy Book,Part 1,My Latin Brother,my latin brother,,1,outside,,
B04,Sher,The Latin Real Easy Book,Part 1,Nana,nana,,1,outside,,
B04,Sher,The Latin Real Easy Book,Part 1,Pa' Gozar,pa' gozar,,1,outside,,
B04,Sher,The Latin Real Easy Book,Part 1,Pare Cochero,pare cochero,,1,outside,,
B04,Sher,The Latin Real Easy Book,Part 1,Real Life,real life,,1,outside,,
B04,Sher,The Latin Real Easy Book,Part 1,Rico Cha-Cha-Chá,rico cha cha cha,,1,outside,,
B04,Sher,The Latin Real Easy Book,Part 1,Rico Vacilón,rico vacilon,,1,outside,,
B04,Sher,The Latin Real Easy Book,Part 1,Ritmo Remo,ritmo remo,,1,outside,,
B04,Sher,The Latin Real Easy Book,Part 1,Rua Bougainville,rua bougainville,,1,outside,,
B04,Sher,The Latin Real Easy Book,Part 1,Samba do Avião,samba do aviao,,1,outside,,
B04,Sher,The Latin Real Easy Book,Part 1,Señor Blues,senor blues,,1,seated,List 2,110
B04,Sher,The Latin Real Easy Book,Part 1,She Walks This Earth,she walks this earth,,1,outside,,
B04,Sher,The Latin Real Easy Book,Part 1,Si Te Contara,si te contara,,1,outside,,
B04,Sher,The Latin Real Easy Book,Part 1,Suavecito,suavecito,,1,outside,,
B04,Sher,The Latin Real Easy Book,Part 1,The Long Way Back,long way back,,1,outside,,
B04,Sher,The Latin Real Easy Book,Part 1,This Happy Madness,this happy madness,,1,outside,,
B04,Sher,The Latin Real Easy Book,Part 1,Tin Tin Deo,tin tin deo,,1,seated,List 2,78
B04,Sher,The Latin Real Easy Book,Part 1,Tres Lindas Cubanas,tres lindas cubanas,,1,outside,,
B04,Sher,The Latin Real Easy Book,Part 1,Tumbao,tumbao,,1,outside,,
B04,Sher,The Latin Real Easy Book,Part 1,Viva Cepeda,viva cepeda,,1,outside,,
B04,Sher,The Latin Real Easy Book,Part 1,Yuca Con Mojo,yuca con mojo,,1,outside,,
B04,Sher,The Latin Real Easy Book,Part 1,Zina's Zamba,zina's zamba,,1,outside,,
B05,Sher,The Latin Real Easy Book,Part 2,A Song For Horace,song for horace,,1,outside,,
B05,Sher,The Latin Real Easy Book,Part 2,Acrobata,acrobata,,1,outside,,
B05,Sher,The Latin Real Easy Book,Part 2,Ao Vento (The Wind),ao vento,,1,outside,,
B05,Sher,The Latin Real Easy Book,Part 2,Asa,asa,,1,outside,,
B05,Sher,The Latin Real Easy Book,Part 2,"Así Nó, Papa",asi no papa,,1,outside,,
B05,Sher,The Latin Real Easy Book,Part 2,Azulito,azulito,,1,outside,,
B05,Sher,The Latin Real Easy Book,Part 2,Bananeira,bananeira,,1,outside,,
B05,Sher,The Latin Real Easy Book,Part 2,Celeuma,celeuma,,1,outside,,
B05,Sher,The Latin Real Easy Book,Part 2,Chakalaka,chakalaka,,1,outside,,
B05,Sher,The Latin Real Easy Book,Part 2,Congo Yambumba,congo yambumba,,1,outside,,
B05,Sher,The Latin Real Easy Book,Part 2,Dia Azul,dia azul,,1,outside,,
B05,Sher,The Latin Real Easy Book,Part 2,El Marelito,el marelito,,1,outside,,
B05,Sher,The Latin Real Easy Book,Part 2,Fuji,fuji,,1,outside,,
B05,Sher,The Latin Real Easy Book,Part 2,Guararé,guarare,,1,outside,,
B05,Sher,The Latin Real Easy Book,Part 2,Havana,havana,,1,outside,,
B05,Sher,The Latin Real Easy Book,Part 2,Heart Of Darkness,heart of darkness,,1,outside,,
B05,Sher,The Latin Real Easy Book,Part 2,"Hey, Bud",hey bud,,1,outside,,
B05,Sher,The Latin Real Easy Book,Part 2,Jobiniando,jobiniando,,1,outside,,
B05,Sher,The Latin Real Easy Book,Part 2,Ladies In Mercedes,ladies in mercedes,,1,outside,,
B05,Sher,The Latin Real Easy Book,Part 2,Mambo Rincón,mambo rincon,,1,outside,,
B05,Sher,The Latin Real Easy Book,Part 2,Montuno Blue,montuno blue,,1,outside,,
B05,Sher,The Latin Real Easy Book,Part 2,Muñeca,muneca,,1,outside,,
B05,Sher,The Latin Real Easy Book,Part 2,No Borders,no borders,,1,outside,,
B05,Sher,The Latin Real Easy Book,Part 2,Nunca Contigo,nunca contigo,,1,outside,,
B05,Sher,The Latin Real Easy Book,Part 2,On A Sunday Afternoon,on a sunday afternoon,,1,outside,,
B05,Sher,The Latin Real Easy Book,Part 2,Opita's Opus,opita's opus,,1,outside,,
B05,Sher,The Latin Real Easy Book,Part 2,Partido Alto,partido alto,,1,outside,,
B05,Sher,The Latin Real Easy Book,Part 2,Passarim,passarim,,1,outside,,
B05,Sher,The Latin Real Easy Book,Part 2,Que Le Den Candela,que le den candela,,1,outside,,
B05,Sher,The Latin Real Easy Book,Part 2,Renata Maria,renata maria,,1,outside,,
B05,Sher,The Latin Real Easy Book,Part 2,Rojo Y Negro,rojo y negro,,1,outside,,
B05,Sher,The Latin Real Easy Book,Part 2,Rompe Saragüey,rompe saraguey,,1,outside,,
B05,Sher,The Latin Real Easy Book,Part 2,Sabroso Guaguancó,sabroso guaguanco,,1,outside,,
B05,Sher,The Latin Real Easy Book,Part 2,Sambroso,sambroso,,1,outside,,
