index	seat	title	basis	provenance	idiom	rhythmic_frame	form_block	harmonic_terrain	latin_integrated
3	15	Brilliant Corners	classified; prints on the style page	Jazz composition	Bebop				
3	16	Central Park West	classified; prints on the style page	Jazz composition	Post-bop				
3	17	Cheese Cake	classified; prints on the style page	Jazz composition	Hard bop				
3	18	Chick's Tune	classified; prints on the style page	Jazz composition	Post-bop				
3	19	Children Of The Night	classified; prints on the style page	Jazz composition	Post-bop				
3	20	Conception	classified; prints on the style page	Jazz composition	Cool / West Coast				
3	21	Contemplation	classified; prints on the style page	Jazz composition	Modal	jazz waltz		modal or vamp	
3	22	Crepuscule With Nellie	classified; prints on the style page	Jazz composition	Bebop				
3	23	Crescent	classified; prints on the style page	Jazz composition	Modal			modal or vamp	
3	24	Criss Cross	classified; prints on the style page	Jazz composition	Bebop				
3	25	Dance Cadaverous	classified; prints on the style page	Jazz composition	Post-bop	jazz waltz			
3	26	Dear Old Stockholm	classified; prints on the style page	Imported song	Straight-ahead				
3	27	Del Sasser	classified; prints on the style page	Jazz composition	Hard bop				
3	28	Dewey Square	classified; prints on the style page	Jazz composition	Bebop				
3	29	El Gaucho	classified; prints on the style page	Jazz composition	Post-bop	samba			yes
3	30	Eronel	classified; prints on the style page	Jazz composition	Bebop				
3	31	Fall	classified; prints on the style page	Jazz composition	Post-bop				
3	32	Firm Roots	classified; prints on the style page	Jazz composition	Hard bop				
3	33	Four In One	classified; prints on the style page	Jazz composition	Bebop				
3	34	Fuchsia Swing Song	classified; prints on the style page	Jazz composition	Post-bop				
3	35	Gloria’s Step	classified; prints on the style page	Jazz composition	Post-bop				
3	36	Goodbye Pork Pie Hat	classified; prints on the style page	Jazz composition	Post-bop				
3	37	Got a Match	classified; prints on the style page	Jazz composition	Jazz-rock / fusion				
3	38	Hallucinations	classified; prints on the style page	Jazz composition	Bebop				
3	39	Humpty Dumpty	classified; prints on the style page	Jazz composition	Post-bop				
3	40	Jackie-ing	classified; prints on the style page	Jazz composition	Bebop				
3	41	Jeannine	classified; prints on the style page	Jazz composition	Hard bop				
3	42	Joshua	classified; prints on the style page	Jazz composition	Post-bop				
3	43	La Fiesta	classified; prints on the style page	Jazz composition	Jazz-rock / fusion	flamenco		modal or vamp	yes
3	44	La Mesha	classified; prints on the style page	Jazz composition	Hard bop				
3	45	Lament	classified; prints on the style page	Jazz composition	Hard bop				
3	46	Little Willie Leaps	classified; prints on the style page	Jazz composition	Bebop				
3	47	Lonnie's Lament	classified; prints on the style page	Jazz composition	Modal			modal or vamp	
3	48	Mayreh	classified; prints on the style page	Jazz composition	Bebop				
3	49	Miles' Mode	classified; prints on the style page	Jazz composition	Modal			modal or vamp	
3	50	Mode For Joe	classified; prints on the style page	Jazz composition	Post-bop				
3	51	Mosaic	classified; prints on the style page	Jazz composition	Post-bop				
3	52	Night Dreamer	classified; prints on the style page	Jazz composition	Post-bop			modal or vamp	
3	53	Nostalgia In Times Square	classified; prints on the style page	Jazz composition	Hard bop				
3	54	O Grande Amor	classified; prints on the style page	Latin American composition	Latin jazz - Brazilian	bossa nova			
3	55	On A Misty Night	classified; prints on the style page	Jazz composition	Hard bop				
3	56	One By One	classified; prints on the style page	Jazz composition	Post-bop				
3	57	One Finger Snap	classified; prints on the style page	Jazz composition	Post-bop				
3	58	Parisian Thoroughfare	classified; prints on the style page	Jazz composition	Bebop				
3	59	Pensativa	classified; prints on the style page	Jazz composition	Latin jazz - Brazilian	bossa nova			
3	60	Pinocchio	classified; prints on the style page	Jazz composition	Post-bop				
3	61	Prince Albert	classified; prints on the style page	Jazz composition	Bebop				
3	62	Quasimodo	classified; prints on the style page	Jazz composition	Bebop				
3	63	Quicksilver	classified; prints on the style page	Jazz composition	Hard bop				
3	64	Ray's Idea	classified; prints on the style page	Jazz composition	Bebop				
3	65	Reflections	classified; prints on the style page	Jazz composition	Bebop				
3	66	Sail Away	classified; prints on the style page	Jazz composition	Post-bop	even eighths			
3	67	Satellite	classified; prints on the style page	Jazz composition	Post-bop				
3	68	Search For Peace	classified; prints on the style page	Jazz composition	Modal			modal or vamp	
3	69	Serenity	classified; prints on the style page	Jazz composition	Post-bop				
3	70	Sometime Ago	classified; prints on the style page	Latin American composition	Mainstream	jazz waltz			
3	71	Straight Up And Down	classified; prints on the style page	Jazz composition	Free / open form				
3	72	Syeeda's Song Flute	classified; prints on the style page	Jazz composition	Hard bop				
3	73	Tell Me A Bedtime Story	classified; prints on the style page	Jazz composition	Jazz-rock / fusion	even eighths			
3	74	The Blessing	classified; prints on the style page	Jazz composition	Free / open form				
3	75	The Duke	classified; prints on the style page	Jazz composition	Cool / West Coast				
3	76	The Eye Of The Hurricane	classified; prints on the style page	Jazz composition	Post-bop				
3	77	The Gentle Rain	classified; prints on the style page	Latin American composition	Latin jazz - Brazilian	bossa nova			
3	78	The Holy Land	classified; prints on the style page	Jazz composition	Hard bop	gospel			
3	79	Thelonious	classified; prints on the style page	Jazz composition	Bebop				
3	80	This Here	classified; prints on the style page	Jazz composition	Soul jazz / boogaloo	gospel 3/4			
3	81	Tones for Joan's Bones	classified; prints on the style page	Jazz composition	Post-bop				
3	82	Tricotism	classified; prints on the style page	Jazz composition	Hard bop				
3	83	Trinkle Tinkle	classified; prints on the style page	Jazz composition	Bebop				
3	84	Ugetsu	classified; prints on the style page	Jazz composition	Hard bop	even eighths			
3	85	Una Mas	classified; prints on the style page	Jazz composition	Hard bop	bossa nova			yes
3	86	Valse Hot	classified; prints on the style page	Jazz composition	Hard bop	jazz waltz			
3	87	Very Early	classified; prints on the style page	Jazz composition	Post-bop	jazz waltz			
3	88	Voyage	classified; prints on the style page	Jazz composition	Post-bop				
3	89	Wise One	classified; prints on the style page	Jazz composition	Modal	3/4		modal or vamp	
3	90	Bass Blues	classified; form block, counted at § VI.5.f	Jazz composition	Hard bop		twelve-bar blues		
3	91	Big Foot	classified; form block, counted at § VI.5.f	Jazz composition	Bebop		twelve-bar blues		
3	92	Bloomdido	classified; form block, counted at § VI.5.f	Jazz composition	Bebop		twelve-bar blues		
3	93	Bluebird	classified; form block, counted at § VI.5.f	Jazz composition	Bebop		twelve-bar blues		
3	94	Blues in the Closet	classified; form block, counted at § VI.5.f	Jazz composition	Bebop		twelve-bar blues		
3	95	Bolivar Blues	classified; form block, counted at § VI.5.f	Jazz composition	Bebop		twelve-bar blues		
3	96	Buzzy	classified; form block, counted at § VI.5.f	Jazz composition	Bebop		twelve-bar blues		
3	97	Chi Chi	classified; form block, counted at § VI.5.f	Jazz composition	Bebop		twelve-bar blues		
3	98	Dance Of The Infidels	classified; form block, counted at § VI.5.f	Jazz composition	Bebop		twelve-bar blues		
3	99	Dr. Jackle	classified; form block, counted at § VI.5.f	Jazz composition	Hard bop		twelve-bar blues		
3	100	Homestretch	classified; form block, counted at § VI.5.f	Jazz composition	Post-bop		twelve-bar blues		
3	101	Isotope	classified; form block, counted at § VI.5.f	Jazz composition	Post-bop		twelve-bar blues		
3	102	K.C. Blues	classified; form block, counted at § VI.5.f	Jazz composition	Bebop		twelve-bar blues		
3	103	Laird Baird	classified; form block, counted at § VI.5.f	Jazz composition	Bebop		twelve-bar blues		
3	104	Matrix	classified; form block, counted at § VI.5.f	Jazz composition	Post-bop		twelve-bar blues		
3	105	Mohawk	classified; form block, counted at § VI.5.f	Jazz composition	Bebop		twelve-bar blues		
3	106	Mr. Day	classified; form block, counted at § VI.5.f	Jazz composition	Hard bop		twelve-bar blues		
3	107	Opus De Funk	classified; form block, counted at § VI.5.f	Jazz composition	Hard bop		twelve-bar blues		
3	108	Parker's Mood	classified; form block, counted at § VI.5.f	Jazz composition	Bebop		twelve-bar blues		
3	109	Ramblin'	classified; form block, counted at § VI.5.f	Jazz composition	Free / open form		twelve-bar blues		
3	110	Relaxin' At Camarillo	classified; form block, counted at § VI.5.f	Jazz composition	Bebop		twelve-bar blues		
3	111	Sippin' At Bell's	classified; form block, counted at § VI.5.f	Jazz composition	Bebop		twelve-bar blues		
3	112	Solid (Shaw)	classified; form block, counted at § VI.5.f	Jazz composition	Hard bop		twelve-bar blues		
3	113	Some Other Blues	classified; form block, counted at § VI.5.f	Jazz composition	Hard bop		twelve-bar blues		
3	114	Take The Coltrane	classified; form block, counted at § VI.5.f	Jazz composition	Hard bop		twelve-bar blues		
3	115	Twisted	classified; form block, counted at § VI.5.f	Jazz composition	Bebop		twelve-bar blues		
3	116	Vierd Blues	classified; form block, counted at § VI.5.f	Jazz composition	Hard bop		twelve-bar blues		
3	117	When Will The Blues Leave?	classified; form block, counted at § VI.5.f	Jazz composition	Free / open form		twelve-bar blues		
3	118	Blues For Wood	classified; form block, counted at § VI.5.f	Jazz composition	Post-bop		minor blues		
3	119	Blues Minor	classified; form block, counted at § VI.5.f	Jazz composition	Modal		minor blues	modal or vamp	
3	120	Chronic Blues	classified; form block, counted at § VI.5.f	Jazz composition	Hard bop		minor blues		
3	121	Five Spot After Dark	classified; form block, counted at § VI.5.f	Jazz composition	Hard bop		minor blues		
3	122	Israel	classified; form block, counted at § VI.5.f	Jazz composition	Cool / West Coast		minor blues		
3	123	Mr. Syms	classified; form block, counted at § VI.5.f	Jazz composition	Hard bop		minor blues		
3	124	Nothing Personal	classified; form block, counted at § VI.5.f	Jazz composition	Jazz-rock / fusion	even eighths	minor blues		
